id,season,city,match_type,player_of_match,team1,team2,winner,result_margin,target_runs,super_over
299,2012,Jaipur,League,BW Hilfenhaus,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,4,127,N
300,2012,Pune,League,CH Gayle,Pune Warriors,Royal Challengers Bangalore,Royal Challengers Bangalore,35,174,N
301,2012,Kolkata,League,RG Sharma,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,27,183,N
302,2012,Chennai,League,BW Hilfenhaus,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,9,115,N
303,2012,Jaipur,League,A Chandila,Rajasthan Royals,Pune Warriors,Rajasthan Royals,45,171,N
304,2012,Chandigarh,League,DJ Hussey,Punjab Kings,Deccan Chargers,Punjab Kings,4,191,N
305,2012,Bangalore,League,AT Rayudu,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,5,172,N
306,2012,Kolkata,League,MEK Hussey,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,5,159,N
307,2012,Delhi,League,UT Yadav,Delhi Capitals,Punjab Kings,Delhi Capitals,5,137,N
308,2012,Mumbai,League,SP Narine,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,32,141,N
309,2012,Dharamsala,League,AC Gilchrist,Punjab Kings,Chennai Super Kings,Punjab Kings,6,121,N
310,2012,Delhi,League,CH Gayle,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,21,216,N
311,2012,Hyderabad,League,DW Steyn,Deccan Chargers,Rajasthan Royals,Deccan Chargers,5,127,N
312,2012,Dharamsala,League,UT Yadav,Punjab Kings,Delhi Capitals,Delhi Capitals,6,142,N
313,2012,Pune,League,Shakib Al Hasan,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,34,137,N
314,2012,Hyderabad,League,DW Steyn,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,9,133,N
315,2012,Jaipur,League,DR Smith,Rajasthan Royals,Mumbai Indians,Mumbai Indians,10,163,N
316,2012,Pune,Qualifier 1,YK Pathan,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,18,163,N
317,2012,Bangalore,Elimination Final,MS Dhoni,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,38,188,N
318,2012,Chennai,Qualifier 2,M Vijay,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,86,223,N
319,2012,Chennai,Final,MS Bisla,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,5,191,N
320,2013,Kolkata,League,SP Narine,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,6,129,N
321,2013,Bangalore,League,CH Gayle,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,2,157,N
322,2013,Hyderabad,League,A Mishra,Sunrisers Hyderabad,Pune Warriors,Sunrisers Hyderabad,22,127,N
323,2013,Delhi,League,R Dravid,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,5,166,N
324,2013,Chennai,League,KA Pollard,Chennai Super Kings,Mumbai Indians,Mumbai Indians,9,149,N
325,2013,Pune,League,M Vohra,Pune Warriors,Punjab Kings,Punjab Kings,8,100,N
326,2013,Jaipur,League,SK Trivedi,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,19,145,N
327,2013,Mumbai,League,KD Karthik,Mumbai Indians,Delhi Capitals,Mumbai Indians,44,210,N
328,2013,Bangalore,League,V Kohli,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,7,162,N
329,2013,Chandigarh,League,MEK Hussey,Punjab Kings,Chennai Super Kings,Chennai Super Kings,10,139,N
330,2013,Bangalore,League,CH Gayle,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,8,155,N
331,2013,Pune,League,AJ Finch,Pune Warriors,Rajasthan Royals,Pune Warriors,7,146,N
332,2013,Delhi,League,A Mishra,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,3,115,N
333,2013,Mumbai,League,RG Sharma,Mumbai Indians,Pune Warriors,Mumbai Indians,41,184,N
334,2013,Chennai,League,RA Jadeja,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,4,166,N
335,2013,Kolkata,League,G Gambhir,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,48,181,N
336,2013,Jaipur,League,JP Faulkner,Rajasthan Royals,Punjab Kings,Rajasthan Royals,6,125,N
337,2013,Chennai,League,SPD Smith,Chennai Super Kings,Pune Warriors,Pune Warriors,24,160,N
338,2013,Chandigarh,League,MS Gony,Punjab Kings,Kolkata Knight Riders,Punjab Kings,4,158,N
339,2013,Pune,League,A Mishra,Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,11,120,N
340,2013,Jaipur,League,AM Rahane,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,87,180,N
341,2013,Delhi,League,MEK Hussey,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,86,170,N
342,2013,Hyderabad,League,GH Vihari,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,5,124,N
343,2013,Kolkata,League,RA Jadeja,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,4,120,N
344,2013,Bangalore,League,R Vinay Kumar,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,7,118,N
345,2013,Delhi,League,V Sehwag,Delhi Capitals,Mumbai Indians,Delhi Capitals,9,162,N
346,2013,Chandigarh,League,DA Miller,Punjab Kings,Pune Warriors,Punjab Kings,7,186,N
347,2013,Chennai,League,MEK Hussey,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,5,186,N
348,2013,Bangalore,League,CH Gayle,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,130,264,N
349,2013,Delhi,League,Harmeet Singh,Delhi Capitals,Punjab Kings,Punjab Kings,5,121,N
350,2013,Kolkata,League,DR Smith,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,5,160,N
351,2013,Chennai,League,MS Dhoni,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,5,160,N
352,2013,Kolkata,League,JH Kallis,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,6,150,N
353,2013,Jaipur,League,JP Faulkner,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,8,145,N
354,2013,Mumbai,League,DR Smith,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,58,195,N
355,2013,Chennai,League,MEK Hussey,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,14,201,N
356,2013,Raipur,League,DA Warner,Delhi Capitals,Pune Warriors,Delhi Capitals,15,165,N
357,2013,Jaipur,League,SV Samson,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,4,172,N
358,2013,Mumbai,League,RG Sharma,Mumbai Indians,Punjab Kings,Mumbai Indians,4,175,N
359,2013,Pune,League,MS Dhoni,Pune Warriors,Chennai Super Kings,Chennai Super Kings,37,165,N
360,2013,Hyderabad,League,I Sharma,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,7,130,N
361,2013,Raipur,League,DA Warner,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,7,137,N
362,2013,Chennai,League,SK Raina,Chennai Super Kings,Punjab Kings,Chennai Super Kings,15,187,N
363,2013,Pune,League,AB de Villiers,Pune Warriors,Royal Challengers Bangalore,Royal Challengers Bangalore,17,188,N
364,2013,Kolkata,League,YK Pathan,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,8,133,N
365,2013,Hyderabad,League,DJG Sammy,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,6,81,N
366,2013,Mumbai,League,MG Johnson,Mumbai Indians,Chennai Super Kings,Mumbai Indians,60,140,N
367,2013,Jaipur,League,AM Rahane,Rajasthan Royals,Pune Warriors,Rajasthan Royals,5,179,N
368,2013,Chandigarh,League,DA Miller,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,6,191,N
369,2013,Jaipur,League,AM Rahane,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,9,155,N
370,2013,Mumbai,League,SR Tendulkar,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,65,171,N
371,2013,Hyderabad,League,SK Raina,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,77,224,N
372,2013,Chandigarh,League,KK Cooper,Punjab Kings,Rajasthan Royals,Rajasthan Royals,8,146,N
373,2013,Pune,League,G Gambhir,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,46,153,N
374,2013,Delhi,League,JD Unadkat,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,4,184,N
375,2013,Pune,League,MG Johnson,Pune Warriors,Mumbai Indians,Mumbai Indians,5,113,N
376,2013,Chandigarh,League,PA Patel,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,30,151,N
377,2013,Ranchi,League,JH Kallis,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,5,116,N
378,2013,Jaipur,League,SR Watson,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,5,142,N
379,2013,Mumbai,League,KA Pollard,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,7,179,N
380,2013,Bangalore,League,AC Gilchrist,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,7,175,N
381,2013,Chennai,League,MS Dhoni,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,33,169,N
382,2013,Ranchi,League,MK Pandey,Kolkata Knight Riders,Pune Warriors,Pune Warriors,7,171,N
383,2013,Mumbai,League,AP Tare,Mumbai Indians,Rajasthan Royals,Mumbai Indians,14,167,N
384,2013,Dharamsala,League,DA Miller,Punjab Kings,Delhi Capitals,Punjab Kings,7,172,N
385,2013,Hyderabad,League,A Mishra,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,23,137,N
386,2013,Dharamsala,League,Azhar Mahmood,Punjab Kings,Mumbai Indians,Punjab Kings,50,184,N
387,2013,Bangalore,League,V Kohli,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,24,107,N
388,2013,Pune,League,LJ Wright,Pune Warriors,Delhi Capitals,Pune Warriors,38,173,N
389,2013,Hyderabad,League,PA Patel,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,5,131,N
390,2013,Delhi,Qualifier 1,MEK Hussey,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,48,193,N
391,2013,Delhi,Eliminator,BJ Hodge,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,4,133,N
392,2013,Kolkata,Qualifier 2,Harbhajan Singh,Mumbai Indians,Rajasthan Royals,Mumbai Indians,4,166,N
393,2013,Kolkata,Final,KA Pollard,Chennai Super Kings,Mumbai Indians,Mumbai Indians,23,149,N
394,2014,Abu Dhabi,League,JH Kallis,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,41,164,N
395,2014,Abu Dhabi,League,GJ Maxwell,Chennai Super Kings,Punjab Kings,Punjab Kings,6,206,N
396,2014,Abu Dhabi,League,AM Rahane,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,4,134,N
397,2014,Abu Dhabi,League,SK Raina,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,93,178,N
398,2014,Abu Dhabi,League,PV Tambe,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,6,71,N
399,2014,Abu Dhabi,League,Sandeep Sharma,Kolkata Knight Riders,Punjab Kings,Punjab Kings,23,133,N
400,2014,Ranchi,League,RA Jadeja,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,34,149,N
401,2014,Mumbai,League,CJ Anderson,Mumbai Indians,Punjab Kings,Mumbai Indians,5,169,N
402,2014,Delhi,League,KK Nair,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,7,153,N
403,2014,Bangalore,League,AB de Villiers,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,4,156,N
404,2014,Ahmedabad,League,PV Tambe,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,10,171,N
405,2014,Delhi,League,DR Smith,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,8,179,N
406,2014,Mumbai,League,RG Sharma,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,19,188,N
407,2014,Delhi,League,G Gambhir,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,8,161,N
408,2014,Cuttack,League,GJ Maxwell,Punjab Kings,Chennai Super Kings,Punjab Kings,44,232,N
409,2014,Ahmedabad,League,B Kumar,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,32,135,N
410,2014,Bangalore,League,Sandeep Sharma,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,32,199,N
411,2014,Delhi,League,DW Steyn,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,8,43,N
412,2014,Mumbai,League,DR Smith,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,4,158,N
413,2014,Cuttack,League,G Gambhir,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,9,150,N
414,2014,Bangalore,League,JP Faulkner,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,5,191,N
415,2014,Hyderabad,League,AT Rayudu,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,7,158,N
416,2014,Ranchi,League,RA Jadeja,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,5,149,N
417,2014,Bangalore,League,Yuvraj Singh,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,16,187,N
418,2014,Hyderabad,League,WP Saha,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,6,206,N
419,2014,Cuttack,League,RV Uthappa,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,6,142,N
420,2014,Ahmedabad,League,AM Rahane,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,62,202,N
421,2014,Ranchi,League,AB de Villiers,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,5,139,N
422,2014,Hyderabad,League,UT Yadav,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,7,143,N
423,2014,Ahmedabad,League,MEK Hussey,Rajasthan Royals,Mumbai Indians,Mumbai Indians,25,179,N
424,2014,Delhi,League,AR Patel,Delhi Capitals,Punjab Kings,Punjab Kings,4,165,N
425,2014,Hyderabad,League,DA Warner,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,7,161,N
426,2014,Kolkata,League,RV Uthappa,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,8,155,N
427,2014,Chandigarh,League,LMP Simmons,Punjab Kings,Mumbai Indians,Mumbai Indians,7,157,N
428,2014,Kolkata,League,RV Uthappa,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,30,196,N
429,2014,Ranchi,League,DA Warner,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,6,186,N
430,2014,Mumbai,League,MEK Hussey,Mumbai Indians,Delhi Capitals,Mumbai Indians,15,174,N
431,2014,Chandigarh,League,SE Marsh,Punjab Kings,Rajasthan Royals,Punjab Kings,16,180,N
432,2014,Bangalore,League,MS Dhoni,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,8,155,N
433,2014,Kolkata,League,YK Pathan,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,4,161,N
434,2014,Chandigarh,League,M Vohra,Punjab Kings,Delhi Capitals,Punjab Kings,7,116,N
435,2014,Mumbai,League,CJ Anderson,Mumbai Indians,Rajasthan Royals,Mumbai Indians,5,190,N
436,2014,Kolkata,Qualifier 1,UT Yadav,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,28,164,N
437,2014,Mumbai,Eliminator,SK Raina,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,7,174,N
438,2014,Mumbai,Qualifier 2,V Sehwag,Chennai Super Kings,Punjab Kings,Punjab Kings,24,227,N
439,2014,Bangalore,Final,MK Pandey,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,3,200,N
440,2015,Kolkata,League,M Morkel,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,7,169,N
441,2015,Chennai,League,A Nehra,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,1,151,N
442,2015,Pune,League,JP Faulkner,Punjab Kings,Rajasthan Royals,Rajasthan Royals,26,163,N
443,2015,Chennai,League,BB McCullum,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,45,210,N
444,2015,Kolkata,League,CH Gayle,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,3,178,N
445,2015,Delhi,League,DJ Hooda,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,3,185,N
446,2015,Mumbai,League,GJ Bailey,Mumbai Indians,Punjab Kings,Punjab Kings,18,178,N
447,2015,Bangalore,League,DA Warner,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,8,167,N
448,2015,Ahmedabad,League,SPD Smith,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,7,165,N
449,2015,Pune,League,MA Agarwal,Punjab Kings,Delhi Capitals,Delhi Capitals,5,166,N
450,2015,Visakhapatnam,League,AM Rahane,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,6,128,N
451,2015,Mumbai,League,A Nehra,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,6,184,N
452,2015,Visakhapatnam,League,JP Duminy,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,4,168,N
453,2015,Pune,League,AD Russell,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,4,156,N
454,2015,Ahmedabad,League,AM Rahane,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,8,157,N
455,2015,Bangalore,League,Harbhajan Singh,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,18,210,N
456,2015,Delhi,League,UT Yadav,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,6,147,N
457,2015,Visakhapatnam,League,DA Warner,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,16,118,N
458,2015,Bangalore,League,SK Raina,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,27,182,N
459,2015,Delhi,League,SS Iyer,Delhi Capitals,Mumbai Indians,Delhi Capitals,37,191,N
460,2015,Ahmedabad,League,MA Starc,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,9,131,N
461,2015,Mumbai,League,SL Malinga,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,20,158,N
462,2015,Chennai,League,BB McCullum,Chennai Super Kings,Punjab Kings,Chennai Super Kings,97,193,N
463,2015,Delhi,League,VR Aaron,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,10,96,N
464,2015,Chandigarh,League,TA Boult,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,20,151,N
465,2015,Chennai,League,DJ Bravo,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,2,135,N
466,2015,Kolkata,League,AD Russell,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,7,166,N
467,2015,Delhi,League,NM Coulter-Nile,Delhi Capitals,Punjab Kings,Delhi Capitals,9,119,N
468,2015,Mumbai,League,AT Rayudu,Mumbai Indians,Rajasthan Royals,Mumbai Indians,8,188,N
469,2015,Bangalore,League,Mandeep Singh,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,7,112,N
470,2015,Hyderabad,League,DA Warner,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,22,193,N
471,2015,Chandigarh,League,LMP Simmons,Punjab Kings,Mumbai Indians,Mumbai Indians,23,173,N
472,2015,Mumbai,League,AM Rahane,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,14,190,N
473,2015,Chennai,League,SK Raina,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,24,149,N
474,2015,Kolkata,League,UT Yadav,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,35,168,N
475,2015,Mumbai,League,Harbhajan Singh,Mumbai Indians,Delhi Capitals,Mumbai Indians,5,153,N
476,2015,Bangalore,League,CH Gayle,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,138,227,N
477,2015,Kolkata,League,PP Chawla,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,13,172,N
478,2015,Mumbai,League,EJG Morgan,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,7,202,N
479,2015,Chennai,League,HH Pandya,Chennai Super Kings,Mumbai Indians,Mumbai Indians,6,159,N
480,2015,Kolkata,League,AD Russell,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,1,184,N
481,2015,Raipur,League,MC Henriques,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,6,164,N
482,2015,Mumbai,League,AB de Villiers,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,39,236,N
483,2015,Chennai,League,RA Jadeja,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,12,158,N
484,2015,Hyderabad,League,DA Warner,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,5,186,N
485,2015,Raipur,League,Z Khan,Delhi Capitals,Chennai Super Kings,Delhi Capitals,6,120,N
486,2015,Chandigarh,League,AR Patel,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,22,107,N
487,2015,Mumbai,League,HH Pandya,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,5,172,N
488,2015,Hyderabad,League,V Kohli,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,6,81,N
489,2015,Chandigarh,League,P Negi,Punjab Kings,Chennai Super Kings,Chennai Super Kings,7,131,N
490,2015,Mumbai,League,SR Watson,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,9,200,N
491,2015,Hyderabad,League,MJ McClenaghan,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,9,114,N
492,2015,Mumbai,Qualifier 1,KA Pollard,Chennai Super Kings,Mumbai Indians,Mumbai Indians,25,188,N
493,2015,Pune,Eliminator,AB de Villiers,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,71,181,N
494,2015,Ranchi,Qualifier 2,A Nehra,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,3,140,N
495,2015,Kolkata,Final,RG Sharma,Mumbai Indians,Chennai Super Kings,Mumbai Indians,41,203,N
496,2016,Mumbai,League,AM Rahane,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,9,122,N
497,2016,Kolkata,League,AD Russell,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,9,99,N
498,2016,Chandigarh,League,AJ Finch,Punjab Kings,Gujarat Lions,Gujarat Lions,5,162,N
499,2016,Bangalore,League,AB de Villiers,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,45,228,N
500,2016,Kolkata,League,RG Sharma,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,6,188,N
501,2016,Rajkot,League,AJ Finch,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,7,164,N
502,2016,Delhi,League,A Mishra,Delhi Capitals,Punjab Kings,Delhi Capitals,8,112,N
503,2016,Hyderabad,League,G Gambhir,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,8,143,N
504,2016,Mumbai,League,AJ Finch,Mumbai Indians,Gujarat Lions,Gujarat Lions,3,144,N
505,2016,Chandigarh,League,M Vohra,Punjab Kings,Rising Pune Supergiant,Punjab Kings,6,153,N
506,2016,Bangalore,League,Q de Kock,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,7,192,N
507,2016,Hyderabad,League,DA Warner,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,7,143,N
508,2016,Chandigarh,League,RV Uthappa,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,6,139,N
509,2016,Mumbai,League,RG Sharma,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,6,171,N
510,2016,Rajkot,League,B Kumar,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,10,136,N
511,2016,Pune,League,AB de Villiers,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,13,186,N
512,2016,Delhi,League,SV Samson,Delhi Capitals,Mumbai Indians,Delhi Capitals,10,165,N
513,2016,Hyderabad,League,Mustafizur Rahman,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,5,144,N
514,2016,Rajkot,League,V Kohli,Gujarat Lions,Royal Challengers Bangalore,Gujarat Lions,6,181,N
515,2016,Pune,League,SA Yadav,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,2,161,N
516,2016,Chandigarh,League,PA Patel,Punjab Kings,Mumbai Indians,Mumbai Indians,25,190,N
517,2016,Hyderabad,League,AB Dinda,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,34,61,N
518,2016,Delhi,League,CH Morris,Delhi Capitals,Gujarat Lions,Gujarat Lions,1,173,N
519,2016,Mumbai,League,RG Sharma,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,6,175,N
520,2016,Pune,League,DR Smith,Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,3,196,N
521,2016,Delhi,League,CR Brathwaite,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,27,187,N
522,2016,Hyderabad,League,DA Warner,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,15,195,N
523,2016,Rajkot,League,AR Patel,Gujarat Lions,Punjab Kings,Punjab Kings,23,155,N
524,2016,Pune,League,RG Sharma,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,8,160,N
525,2016,Bangalore,League,AD Russell,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,5,186,N
526,2016,Rajkot,League,RR Pant,Gujarat Lions,Delhi Capitals,Delhi Capitals,8,150,N
527,2016,Kolkata,League,AD Russell,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,7,165,N
528,2016,Delhi,League,AM Rahane,Delhi Capitals,Rising Pune Supergiant,Rising Pune Supergiant,7,163,N
529,2016,Hyderabad,League,B Kumar,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,5,127,N
530,2016,Bangalore,League,V Kohli,Royal Challengers Bangalore,Rising Pune Supergiant,Royal Challengers Bangalore,7,192,N
531,2016,Chandigarh,League,MP Stoinis,Punjab Kings,Delhi Capitals,Punjab Kings,9,182,N
532,2016,Visakhapatnam,League,A Nehra,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,85,178,N
533,2016,Kolkata,League,P Kumar,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,5,159,N
534,2016,Chandigarh,League,SR Watson,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,1,176,N
535,2016,Visakhapatnam,League,A Zampa,Rising Pune Supergiant,Sunrisers Hyderabad,Sunrisers Hyderabad,4,138,N
536,2016,Bangalore,League,KH Pandya,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,6,152,N
537,2016,Hyderabad,League,CH Morris,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,7,147,N
538,2016,Visakhapatnam,League,MP Stoinis,Mumbai Indians,Punjab Kings,Punjab Kings,7,125,N
539,2016,Bangalore,League,AB de Villiers,Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore,144,249,N
540,2016,Kolkata,League,YK Pathan,Kolkata Knight Riders,Rising Pune Supergiant,Kolkata Knight Riders,8,66,N
