id,season,city,match_type,player_of_match,team1,team2,winner,result_margin,target_runs,super_over
119,2009,Chennai,League,WPUJC Vaas,Chennai Super Kings,Deccan Chargers,Deccan Chargers,31,191,N
120,2009,Ahmedabad,League,V Sehwag,Rajasthan Royals,Delhi Capitals,Delhi Capitals,6,142,N
121,2009,Bangalore,League,JH Kallis,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,8,204,N
122,2009,Kolkata,League,MS Dhoni,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,55,165,N
123,2009,Delhi,League,SR Tendulkar,Delhi Capitals,Mumbai Indians,Mumbai Indians,98,219,N
124,2009,Bangalore,League,JH Kallis,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,10,93,N
125,2009,Delhi,League,ML Hayden,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,5,186,N
126,2009,Cuttack,League,A Symonds,Deccan Chargers,Punjab Kings,Deccan Chargers,6,171,N
127,2009,Ahmedabad,League,AA Jhunjhunwala,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,34,169,N
128,2009,Mumbai,League,JH Kallis,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,7,152,N
129,2009,Cuttack,League,A Symonds,Deccan Chargers,Delhi Capitals,Deccan Chargers,10,172,N
130,2009,Mumbai,League,SR Tendulkar,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,7,156,N
131,2009,Bangalore,League,RV Uthappa,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,36,172,N
132,2009,Chandigarh,League,AC Voges,Punjab Kings,Rajasthan Royals,Rajasthan Royals,31,184,N
133,2009,Mumbai,League,SR Tendulkar,Chennai Super Kings,Mumbai Indians,Mumbai Indians,5,181,N
134,2009,Bangalore,League,KM Jadhav,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,17,184,N
135,2009,Ahmedabad,League,YK Pathan,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,8,149,N
136,2009,Chandigarh,League,MK Tiwary,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,39,184,N
137,2009,Ahmedabad,League,NV Ojha,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,17,178,N
138,2009,Mumbai,League,Harbhajan Singh,Deccan Chargers,Mumbai Indians,Mumbai Indians,41,173,N
139,2009,Delhi,League,DA Warner,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,40,178,N
140,2009,Mumbai,League,SL Malinga,Mumbai Indians,Punjab Kings,Mumbai Indians,4,164,N
141,2009,Chennai,League,M Vijay,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,5,162,N
142,2009,Delhi,League,KD Karthik,Delhi Capitals,Rajasthan Royals,Delhi Capitals,67,189,N
143,2009,Kolkata,League,SC Ganguly,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,24,182,N
144,2009,Chandigarh,League,KP Pietersen,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,6,182,N
145,2009,Chennai,League,M Vijay,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,23,247,N
146,2009,Mumbai,League,AT Rayudu,Mumbai Indians,Deccan Chargers,Mumbai Indians,63,179,N
147,2009,Kolkata,League,DPMD Jayawardene,Kolkata Knight Riders,Punjab Kings,Punjab Kings,8,201,N
148,2009,Delhi,League,PD Collingwood,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,37,185,N
149,2009,Nagpur,League,SK Warne,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,2,160,N
150,2009,Chennai,League,SK Raina,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,24,166,N
151,2009,Jaipur,League,MJ Lumb,Rajasthan Royals,Punjab Kings,Rajasthan Royals,9,154,N
152,2009,Kolkata,League,SC Ganguly,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,14,182,N
153,2009,Bangalore,League,TL Suman,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,7,185,N
154,2009,Chandigarh,League,KC Sangakkara,Punjab Kings,Mumbai Indians,Punjab Kings,6,155,N
155,2009,Nagpur,League,RJ Harris,Deccan Chargers,Chennai Super Kings,Deccan Chargers,6,139,N
156,2009,Bangalore,League,R Vinay Kumar,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,7,161,N
157,2009,Delhi,League,PP Chawla,Delhi Capitals,Punjab Kings,Punjab Kings,7,112,N
158,2009,Jaipur,League,SR Tendulkar,Rajasthan Royals,Mumbai Indians,Mumbai Indians,37,175,N
159,2009,Nagpur,League,Harmeet Singh,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,13,152,N
